Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e9604677,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841133,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla pamiroalaica Juzepczuk,高原委陵菜,谷粹芝,20090223.0,秦仁昌,1790,19560811.0,中国 新疆维吾尔自治区,1100.0,生干旱石山上,有花无果
e9603c1d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841152,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,郭成勇,055099-1,20050506.0,中国 山东省,250.0,山坡荒地,有花无果
e96048a9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841129,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla saundersiana Royle var. caespitosa (Lehm.) Wolf,丛生钉柱委陵菜,谷粹芝,20090104.0,西植新疆队,1086,19780705.0,中国 新疆维吾尔自治区,3900.0,,有花无果
e9604102,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841143,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla recta Linn.,直立委陵菜,谷粹芝,20080700.0,新疆队,612,19560828.0,中国 新疆维吾尔自治区,,,有花无果
e9603b0d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841155,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081200.0,郭成勇,1503075-1,20040509.0,中国 山东省,50.0,荒草地,有花无果
e960481b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841130,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla saundersiana Royle,钉柱委陵菜,谷粹芝,20081200.0,青藏队植被组,2206,19740804.0,中国 西藏自治区,4550.0,山坡石缝间,有花无果
e96049be,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841127,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla saundersiana Royle var. caespitosa (Lehm.) Wolf,丛生钉柱委陵菜,谷粹芝,20090109.0,郑斯绪,0447,19600700.0,中国 青海省,,,有花无果
e9604708,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841131,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla conferta Bunge,大萼委陵菜,谷粹芝,20090223.0,关克俭,3638,19570817.0,中国 新疆维吾尔自治区,,田边,有花无果
e9603d34,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841150,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,郭成勇,1504014-1,20040404.0,中国 山东省,200.0,山坡，湿草地,有花无果
e9603a82,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841154,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081200.0,郭成勇,1502100-1,20040502.0,中国 山东省,49.0,林下荒草地,有花无果
e960421f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841142,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla recta Linn.,直立委陵菜,谷粹芝,20080700.0,关克俭,3819,19580828.0,中国 新疆维吾尔自治区,2300.0,山坡,有花无果
e9604792,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841132,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla pamiroalaica Juzepczuk,高原委陵菜,谷粹芝,20090223.0,秦仁昌,1790,19560811.0,中国 新疆维吾尔自治区,1100.0,生干旱石山上,有花无果
e9604190,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841141,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla recta Linn.,直立委陵菜,谷粹芝,20080700.0,关克俭,3819,19580828.0,中国 新疆维吾尔自治区,2300.0,山坡,有花无果
e9602fa1,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841195,维管植物门,蔷薇目,蔷薇科,草莓属,Fragaria orientalis Losinsk.,东方草莓,谷粹芝,20090310.0,牙资北队,8610093,19860618.0,中国 内蒙古自治区,800.0,山坡,有花无果
e9603260,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841170,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,,长宁0258,19600620.0,中国 陕西省,1800.0,,有花无果
e9603400,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841166,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20080700.0,王庆瑞等,11626,19840515.0,中国 甘肃省,1650.0,沟谷水边,有花无果
