Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e95a69a4,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01843927,维管植物门,蔷薇目,荨麻科,冷水花属,Pilea racemosa (Royle) Tuyama,亚高山冷水花,林祁,20110702.0,金佛山考察队,211,19860512.0,中国 重庆市,1600,山坡较阴湿处,有花无果
e91baa5b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01873410,维管植物门,毛茛目,毛茛科,黄连属,Coptis chinensis Franch.,黄连,关克俭,19550131.0,陈权龙等,1975a,19521008.0,中国 湖北省,1240,栽培于高山阴坡,无花无果
e9615b4e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01840824,维管植物门,蔷薇目,蔷薇科,悬钩子属,Rubus idaeopsis Focke,拟复盆子,陆玲娣,20090300.0,Harry Smith,10039,19340622.0,中国 四川省,900,"In declivo aprico,fruticoso",有花无果
e91a0757,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01876254,维管植物门,菊目,桔梗科,蓝钟花属,Cyananthus macrocalyx Franch.,大萼蓝钟花,洪德元,20150225.0,康藏植物考察队,10-2013,20100815.0,中国 西藏自治区,4740,流石滩,有花有果
e91bb8f5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01873384,维管植物门,毛茛目,毛茛科,黄连属,Coptis chinensis Franch.,黄连,肖培根,19630206.0,王名金,3786,19551011.0,中国 安徽省,600,山岩石旁,无花无果
e92db802,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864898,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa rubus Leveille & Vaniot,悬钩子蔷薇,谷粹芝,201102.0,PE-古蔺考察队,0385,20100602.0,中国 四川省,583~850,阴坡，杂木林,无花有果
e958f3cd,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01844616,维管植物门,禾本目,莎草科,刺子莞属,Rhynchospora rubra Domin,刺子莞,梁松筠,20090323.0,简焯坡等,51468,19650808.0,中国 贵州省,870.0,山坡水渠旁,有花无果
e9680821,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01837512,维管植物门,菊目,菊科,橐吾属,Ligularia intermedia Nakai,狭苞橐吾,陈艺林,20090317.0,滇东北队,46,19720817.0,中国 云南省,1850,山沟草丛中,有花无果
e9434540,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01854782,维管植物门,川续断目,五福花科,荚蒾属,Viburnum betulifolium Batalin,桦叶荚迷,陈又生,20090619.0,白水江采集队,5755,20070906.0,中国 甘肃省,1960~2180,阴湿山沟，林缘,无花有果
e91d59da,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01872615,维管植物门,薯蓣目,薯蓣科,薯蓣属,Dioscorea nipponica Makino,穿龙薯蓣,赖阳均,20111015.0,巴山采集队,4908,20110629.0,中国 四川省,2000,山坡,有花无果
e9597468,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01844582,维管植物门,禾本目,莎草科,刺子莞属,Rhynchospora rubra Domin,刺子莞,梁松筠,20090323.0,李光照,13220,19931125.0,中国 广西壮族自治区,180,山坡草地,有花无果
e92eb82c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864429,维管植物门,毛茛目,毛茛科,银莲花属,Anemone hupehensis Hort.,打破碗花花,王文采,20110315.0,PE-古蔺考察队,0702,20100905.0,中国 四川省,1151~1610,"山谷,林中",有花无果
e94d1673,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01850136,维管植物门,杜鹃花目,杜鹃花科,杜鹃花属,Rhododendron augustinii Hemsl.,毛肋杜鹃,耿玉英,20090407.0,白水江采集队,3422,20070422.0,中国 甘肃省,1550,山谷阴沟,有花无果
e92f23b4,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864216,维管植物门,豆目,豆科,车轴草属,Trifolium repens Linn.,白车轴草,朱相云,20110331.0,PE-古蔺考察队,285,20100602.0,中国 四川省,645~665,溪水中,有花无果
e94b6427,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01850991,维管植物门,禾本目,禾本科,看麦娘属,Alopecurus aequalis Sobol.,看麦娘,Wen Li Chen,20081207.0,巴山采集队,1874,20080719.0,中国 陕西省,2300,高山水塘,无花无果
